ETH,XLM,EOS,BCH,XRP,ETC,XMR,DASH,LTC,MLN,ZEC,REP,ICN,GNO,TIME
0.08103,4.41e-06,0.00029,0.119,4.727e-05,0.003488,0.029,0.07871,0.0138,0.01777,0.05938,0.0055,0.000558,0.039,2017-08-29
0.08389,4.6e-06,0.000275,0.1262,5.1e-05,0.003472,0.02924,0.08176,0.01438,0.01726,0.06005,0.005573,0.000569,0.04031,2017-08-30
0.08199,4.7e-06,0.000282,0.1252,5.4e-05,0.003554,0.02968,0.0815,0.01546,0.01672,0.06108,0.005583,0.000531,0.03651,2017-08-31
0.07947,4.9e-06,0.000269,0.128,5.2e-05,0.004573,0.029,0.08073,0.01791,0.01753,0.06322,0.005815,0.000595,0.03725,2017-09-01
0.07614,4.6e-06,0.000273,0.1262,5e-05,0.004355,0.02736,0.07602,0.01729,0.01631,0.05508,0.005269,0.000539,0.03628,2017-09-02
0.07605,4.7e-06,0.000281,0.13,5.1e-05,0.0042,0.0278,0.07824,0.01732,0.01722,0.05769,0.005393,0.000523,0.03722,2017-09-03
0.0706,4.3e-06,0.000231,0.1221,5e-05,0.003901,0.0254,0.07553,0.01588,0.01545,0.05305,0.005324,0.000493,0.033,2017-09-04
0.07237,4.3e-06,0.000211,0.1253,5e-05,0.00392,0.02764,0.07549,0.01674,0.01536,0.05327,0.005226,0.000474,0.03108,2017-09-05
0.07345,4.46e-06,0.0002131,0.14,5.052e-05,0.004194,0.02668,0.0757,0.01766,0.01655,0.05432,0.005139,0.000488,0.03452,2017-09-06
0.07242,4.41e-06,0.0002128,0.1449,4.937e-05,0.004007,0.0264,0.07521,0.0174,0.0163,0.05387,0.005095,0.000481,0.033,2017-09-07
0.0707,4.24e-06,0.0001979,0.1406,4.91e-05,0.003909,0.02712,0.07664,0.01695,0.01549,0.0513,0.005164,0.000447,0.03184,2017-09-08
0.07019,4.12e-06,0.0001869,0.1367,4.944e-05,0.003757,0.02697,0.07557,0.01655,0.01574,0.05048,0.005277,0.000454,0.03172,2017-09-09
0.0702,3.99e-06,0.0001748,0.1313,5.105e-05,0.003585,0.02646,0.07699,0.01575,0.0156,0.05169,0.005104,0.000438,0.0319,2017-09-10
0.07069,4.09e-06,0.0001749,0.1325,5.139e-05,0.003646,0.02662,0.07617,0.01619,0.0153,0.05054,0.004971,0.000404,0.03055,2017-09-11
0.07047,3.98e-06,0.0002083,0.1285,5.013e-05,0.003587,0.02676,0.07841,0.01584,0.01827,0.05046,0.00511,0.000411,0.02984,2017-09-12
0.0712,3.99e-06,0.0001869,0.1308,5.061e-05,0.003618,0.02841,0.07686,0.016,0.01688,0.05158,0.005331,0.000403,0.03,2017-09-13
0.06907,3.5e-06,0.0001796,0.1201,5.299e-05,0.003157,0.02675,0.07454,0.01404,0.0171,0.05055,0.004932,0.000392,0.0277,2017-09-14
0.0695,3.26e-06,0.000177,0.1165,5e-05,0.0031,0.02687,0.0777,0.01397,0.01641,0.05008,0.0049,0.00042,0.03081,2017-09-15
0.06858,3.22e-06,0.0001682,0.1201,4.956e-05,0.003048,0.02619,0.08295,0.01406,0.01602,0.04859,0.004735,0.000407,0.0295,2017-09-16
0.06988,3.06e-06,0.0001693,0.1195,4.943e-05,0.00302,0.02549,0.08547,0.01377,0.0156,0.04841,0.004779,0.000406,0.02948,2017-09-17
0.07275,3.35e-06,0.0001728,0.1189,4.731e-05,0.002959,0.0251,0.08256,0.01373,0.01686,0.04822,0.00466,0.000423,0.02912,2017-09-18
0.07223,3.03e-06,0.0001669,0.1365,4.728e-05,0.002949,0.02559,0.08241,0.01351,0.0156,0.04793,0.00472,0.00039,0.02798,2017-09-19
0.07354,3.14e-06,0.0001563,0.1236,4.68e-05,0.002883,0.02464,0.08846,0.0133,0.01605,0.0487,0.004747,0.000389,0.02732,2017-09-20
0.07138,2.94e-06,0.0001496,0.1158,4.749e-05,0.002799,0.02377,0.091,0.0128,0.01569,0.04841,0.0047,0.000362,0.02635,2017-09-21
0.07273,3.01e-06,0.0001571,0.114,4.775e-05,0.002833,0.02429,0.09554,0.0133,0.01595,0.054,0.004689,0.000384,0.02613,2017-09-22
0.07516,3.17e-06,0.0001526,0.1135,4.74e-05,0.00279,0.02424,0.09334,0.01301,0.01604,0.05478,0.004732,0.000396,0.0253,2017-09-23
0.07712,3.16e-06,0.0001503,0.1145,4.811e-05,0.00287,0.02449,0.09037,0.013,0.01601,0.05582,0.004866,0.000397,0.02469,2017-09-24
0.07505,3.05e-06,0.0001455,0.115,4.72e-05,0.002791,0.02394,0.08838,0.01332,0.01573,0.05932,0.004818,0.000391,0.02353,2017-09-25
0.0742,3.19e-06,0.000143,0.115,4.867e-05,0.00296,0.02406,0.08762,0.01345,0.0153,0.0598,0.00484,0.000377,0.02421,2017-09-26
0.0737,3.41e-06,0.0001509,0.1097,4.989e-05,0.003089,0.02437,0.08388,0.01346,0.01545,0.06799,0.004997,0.000357,0.0291,2017-09-27
0.07253,3.32e-06,0.0001943,0.1094,4.824e-05,0.003139,0.02356,0.08147,0.0131,0.0159,0.07367,0.00529,0.000359,0.03051,2017-09-28
0.07029,3.18e-06,0.000171,0.1062,4.736e-05,0.003044,0.02281,0.0785,0.01272,0.01555,0.07,0.004978,0.000345,0.03157,2017-09-29
0.06968,3.15e-06,0.0001667,0.1,4.591e-05,0.003029,0.02207,0.07574,0.01275,0.0155,0.0637,0.004905,0.00033,0.03312,2017-09-30
