BTC,LTC,ETC,ETH,BCH,XMR,XRP,ZEC,DASH,TIME
4387.83,62.16,15.81,347.54,589.02,147.9,0.2249,281.41,360.0,2017-08-29
4590.17,62.78,15.99,371.99,548.0,134.5,0.2217,274.03,366.5,2017-08-30
4579.75,65.8,15.96,383.5,579.6,133.5,0.2324,276.99,371.99,2017-08-31
4737.27,73.37,16.82,388.0,595.0,142.1,0.26,290.0,387.18,2017-09-01
4919.9,87.45,22.5,390.01,631.79,141.9,0.2538,313.85,397.0,2017-09-02
4630.4,79.48,20.25,354.89,580.01,126.0,0.2282,256.7,350.01,2017-09-03
4645.0,80.03,19.3,355.0,610.0,129.0,0.2339,267.8,362.0,2017-09-04
4344.11,70.1,17.0,307.96,532.04,110.5,0.2114,234.21,326.69,2017-09-05
4464.03,74.6,17.5,322.98,558.2,121.84,0.2224,239.92,338.0,2017-09-06
4641.6,82.41,19.2,341.84,654.0,125.0,0.2343,252.0,356.66,2017-09-07
4660.0,81.07,18.67,337.96,675.1,123.73,0.2298,250.75,347.52,2017-09-08
4385.0,74.1,17.0,310.27,616.9,120.0,0.2162,228.0,336.0,2017-09-09
4342.3,71.99,16.39,304.74,594.4,117.6,0.2141,220.0,329.0,2017-09-10
4287.1,67.84,15.36,301.54,561.5,112.47,0.2203,221.83,322.67,2017-09-11
4226.2,68.46,15.35,297.64,560.0,112.36,0.2162,218.04,319.96,2017-09-12
4173.6,66.43,14.98,294.0,539.1,111.52,0.21,209.21,325.98,2017-09-13
3882.2,61.88,14.28,276.21,508.7,111.23,0.2013,200.12,302.0,2017-09-14
3254.2,45.49,10.25,223.85,390.2,87.7,0.1727,165.9,240.13,2017-09-15
3739.6,52.2,11.46,259.42,434.8,100.0,0.187,188.11,285.17,2017-09-16
3716.4,52.22,11.46,254.81,449.0,99.27,0.1844,182.61,300.24,2017-09-17
3719.0,51.21,11.16,259.1,443.7,94.79,0.1829,179.51,312.78,2017-09-18
4091.5,56.13,12.08,297.98,485.8,101.75,0.1949,196.1,335.53,2017-09-19
