BTC,LTC,ETC,ETH,BCH,XMR,XRP,ZEC,DASH
7611.9,121.42,15.34,604.0,1137.9,163.6,0.6697,232.69,315.0
7612.9,121.56,15.35,606.57,1137.3,163.39,0.67,232.3,315.0
7653.0,122.72,15.45,611.07,1153.1,167.33,0.6751,233.52,315.03
7627.6,121.94,15.41,607.97,1146.5,166.59,0.6738,233.83,316.7
7621.5,121.41,15.35,607.04,1142.9,166.46,0.6726,233.7,315.08
7653.8,122.0,15.37,610.5,1146.1,167.31,0.6849,234.58,315.01
7521.3,118.81,14.94,595.7,1109.4,165.57,0.6616,227.92,308.6
7518.8,119.42,15.02,597.64,1110.2,163.14,0.6602,228.17,311.0
7516.6,118.71,14.97,596.33,1106.0,162.32,0.6611,227.37,310.3
7533.0,119.33,15.05,598.43,1109.9,162.33,0.662,229.19,310.0
7616.0,120.32,15.18,603.72,1131.3,165.24,0.6702,234.41,313.0
7666.1,121.44,15.24,606.12,1140.6,164.82,0.6718,234.77,315.29
7653.3,121.01,15.29,606.4,1138.3,163.66,0.6739,235.0,315.29
7659.8,121.34,15.2,605.61,1126.9,163.97,0.6747,234.86,315.29
7715.2,123.12,15.33,613.0,1150.0,166.6,0.6818,239.11,318.0
7712.1,122.51,15.4,613.63,1165.2,168.81,0.68,237.86,318.0
7711.9,122.11,15.33,612.46,1152.5,169.83,0.6809,239.4,318.0
7726.7,122.08,15.35,614.13,1160.9,168.5,0.6799,237.1,317.5
7711.9,122.42,15.37,609.92,1152.4,169.74,0.6781,238.46,316.39
7706.4,122.0,15.29,609.8,1150.7,168.86,0.6774,237.94,315.7
7705.0,121.54,15.24,605.0,1144.9,168.7,0.6782,236.5,315.7
7702.1,121.95,15.23,607.08,1145.9,168.7,0.6832,236.92,314.99
7689.2,121.12,15.27,605.56,1139.9,168.3,0.6801,236.85,314.92
7698.8,121.81,15.27,607.6,1140.1,167.1,0.6812,233.84,316.5
7689.0,121.56,15.26,605.11,1140.3,168.47,0.6793,233.79,313.49
7690.0,121.26,15.27,605.0,1145.0,168.47,0.6795,234.99,313.49
7701.0,121.79,15.24,606.48,1151.0,166.49,0.6828,236.55,313.74
7694.6,121.51,15.34,606.72,1143.9,165.79,0.68,235.1,313.86
7682.4,120.97,15.1,605.61,1133.0,165.35,0.6772,233.0,315.85
7682.0,121.36,15.16,604.6,1141.5,165.0,0.6775,232.81,315.85
7704.7,121.48,15.26,609.66,1149.1,165.98,0.682,234.13,313.77
7682.7,121.18,15.21,605.8,1139.3,165.98,0.68,233.14,312.69
7691.4,121.81,15.24,606.56,1138.6,167.42,0.6825,232.09,313.49
7698.0,121.69,15.24,605.22,1138.4,166.0,0.6816,233.74,313.71
7655.0,120.32,15.14,601.5,1132.9,163.9,0.6719,236.01,314.0
7664.0,120.09,15.15,600.52,1135.6,163.11,0.6748,234.66,312.93
7654.5,120.43,15.12,601.0,1134.8,162.6,0.6754,234.68,312.31
7679.4,121.27,15.18,602.99,1143.0,163.94,0.6782,236.05,312.31
7686.3,121.32,15.2,607.03,1146.0,164.24,0.677,237.0,315.21
7675.4,121.21,15.26,604.28,1138.8,164.2,0.6754,237.0,314.53
7655.2,120.29,15.13,604.78,1137.4,164.2,0.6741,237.2,313.08
7642.7,120.31,15.12,601.9,1131.9,163.59,0.67,237.52,313.5
7632.4,119.95,15.13,602.91,1121.8,162.43,0.669,235.96,313.8
7624.2,119.61,15.14,602.23,1121.1,162.34,0.6701,236.38,309.0
7643.4,119.92,15.17,604.75,1123.3,163.0,0.6725,236.38,310.0
7624.4,119.1,15.45,599.4,1109.2,162.14,0.6656,236.35,312.7
7627.9,119.43,15.59,600.72,1112.0,160.41,0.6678,236.35,310.0
7627.7,119.57,15.57,601.91,1109.6,160.0,0.6693,232.49,311.0
7554.4,118.46,15.31,594.45,1086.8,158.57,0.6618,231.51,301.59
7562.7,118.49,15.46,595.97,1093.4,158.7,0.6619,230.62,304.8
7557.0,118.38,15.37,595.33,1097.7,157.62,0.6617,231.78,301.0
7585.5,118.66,15.44,596.9,1107.1,158.36,0.6659,232.0,303.25
7590.5,119.5,15.43,596.23,1122.8,158.27,0.6697,231.88,306.89
7636.0,119.28,15.4,600.01,1121.2,159.8,0.6684,233.68,308.22
7650.1,119.79,15.45,600.86,1121.2,160.83,0.6711,235.32,310.7
7649.9,119.48,15.5,600.8,1121.2,159.59,0.6718,233.99,310.9
7640.8,119.86,15.48,598.83,1115.3,159.09,0.6739,234.71,310.91
7635.4,119.95,15.42,596.65,1115.0,159.25,0.676,236.07,313.1
7641.0,120.0,15.48,598.75,1121.0,159.04,0.6753,236.0,313.1
7647.9,120.0,15.47,599.78,1121.3,157.99,0.675,236.0,312.5
7642.8,120.26,15.44,602.2,1126.0,159.35,0.6748,236.29,312.5
7611.9,119.94,15.33,598.9,1115.8,158.5,0.6725,235.05,312.0
7628.7,120.31,15.32,602.5,1122.0,159.11,0.674,236.16,312.1
7651.4,120.31,15.42,605.4,1127.0,159.5,0.6779,236.44,310.21
7669.6,120.55,15.44,607.75,1137.0,160.16,0.6784,240.25,310.21
7646.8,120.6,15.45,604.82,1129.6,159.31,0.6774,239.34,311.9
7648.1,120.43,15.4,604.99,1132.2,159.78,0.6781,239.34,312.7
7658.0,120.3,15.4,606.7,1132.1,159.85,0.6779,238.53,312.7
7666.1,120.59,15.38,605.29,1129.4,159.3,0.6773,237.28,312.0
7647.1,120.21,15.36,604.01,1122.0,158.76,0.6753,237.26,297.3
7630.0,119.89,15.35,601.0,1115.2,158.76,0.6708,237.26,303.4
7642.6,119.65,15.23,603.73,1120.4,158.24,0.6732,237.26,300.04
7658.0,119.85,15.32,604.82,1122.5,159.16,0.6744,237.26,302.37
7647.4,119.91,15.32,605.45,1122.6,158.9,0.6712,233.91,303.4
7608.4,119.34,15.21,600.72,1107.2,158.09,0.6665,233.04,303.39
7597.5,119.2,15.19,599.0,1101.8,157.39,0.663,232.19,298.3
7597.8,119.3,15.24,601.0,1104.7,157.43,0.6682,234.16,298.3
7620.0,119.45,15.24,601.17,1115.5,157.92,0.667,233.78,298.96
7586.1,118.32,15.24,598.0,1104.6,157.61,0.6627,233.78,298.96
7600.5,119.02,15.13,598.32,1108.2,157.4,0.6645,232.62,298.31
7614.9,119.08,15.13,600.04,1105.0,157.31,0.6674,232.99,300.62
7619.9,118.84,15.15,598.29,1108.2,156.0,0.6643,233.31,300.93
7629.7,119.25,15.19,599.85,1106.0,156.11,0.6654,232.52,300.68
7618.0,118.74,15.16,598.19,1107.5,155.86,0.6634,232.89,300.68
7590.3,118.31,15.11,595.35,1096.9,156.0,0.6596,230.15,300.68
7495.1,117.29,14.97,592.92,1083.7,153.87,0.6578,229.07,296.5
7269.0,113.33,14.5,571.31,1036.0,146.96,0.6354,220.99,287.22
7331.1,114.57,14.51,577.13,1042.9,147.97,0.6449,222.31,287.5
7320.0,113.81,14.49,575.63,1040.2,148.07,0.6405,220.33,285.0
7271.6,113.4,14.38,570.1,1030.1,147.02,0.6358,218.51,282.8
7283.2,113.97,14.39,571.01,1030.9,146.53,0.6336,219.1,286.4
7297.6,114.12,14.44,572.0,1036.5,147.5,0.6364,219.37,289.5
7313.7,114.19,14.46,574.0,1042.3,146.18,0.6343,220.84,288.53
7193.6,112.11,14.26,559.87,1007.4,145.0,0.617,216.0,281.44
7214.3,112.92,14.33,561.5,1016.6,144.7,0.6174,216.73,281.83
7241.2,112.85,14.39,567.32,1022.4,145.95,0.621,216.96,281.83
7248.8,112.8,14.4,565.88,1025.0,145.49,0.6202,217.18,285.75
7241.0,112.88,14.3,566.64,1024.2,147.75,0.6216,218.49,289.5
7231.8,112.58,14.34,564.0,1020.6,147.39,0.618,216.57,291.6
7275.5,114.12,14.45,569.0,1035.8,147.0,0.6235,219.2,291.1
7241.7,113.08,14.41,566.1,1024.1,146.13,0.6194,222.67,290.2
7238.4,113.25,14.32,566.59,1027.7,146.61,0.6151,222.86,291.6
7210.4,112.54,14.32,562.93,1015.3,145.38,0.611,220.6,284.24
6730.0,105.9,13.69,533.17,962.9,133.36,0.5837,201.39,270.51
6756.1,105.59,13.24,531.98,965.9,133.79,0.5905,205.04,273.42
6839.9,106.94,13.34,538.14,974.2,136.39,0.5931,208.14,276.02
6714.7,105.0,12.99,523.77,944.8,133.89,0.5711,203.66,270.48
6743.0,104.31,12.21,515.01,927.2,135.98,0.5656,202.45,267.41
6687.6,103.46,12.34,506.04,905.0,135.0,0.5569,196.0,267.32
6767.9,106.35,12.61,525.56,935.2,139.0,0.5827,198.65,268.61
6717.0,104.54,12.63,516.0,922.9,137.36,0.5725,199.09,278.1
6753.3,105.23,12.69,521.73,935.2,134.96,0.576,197.75,278.1
6778.2,107.6,12.8,529.86,965.1,137.94,0.5828,201.68,273.62
6765.0,107.57,12.9,531.07,957.1,137.32,0.584,200.0,273.62
6790.9,108.5,13.05,533.91,955.6,139.31,0.5916,202.35,274.2
6736.3,106.75,12.94,530.45,937.9,136.6,0.5802,198.16,273.0
6744.1,106.73,12.9,530.48,932.9,135.69,0.5794,197.38,274.53
6638.4,104.4,12.6,519.0,915.4,133.47,0.5648,194.02,273.94
6794.8,107.15,12.86,533.29,936.3,136.88,0.5809,196.86,272.21
6773.6,106.94,12.9,531.01,930.9,137.59,0.578,197.75,272.21
6771.6,106.97,12.82,532.12,931.1,136.67,0.578,197.69,268.6
6792.5,107.21,12.8,534.04,946.5,138.09,0.5787,198.75,270.12
6774.1,106.74,12.76,530.52,935.2,136.74,0.5772,197.49,268.1
6752.2,106.25,12.74,528.94,931.9,136.7,0.575,198.32,267.12
6718.3,104.32,12.55,521.79,914.8,135.0,0.5703,195.67,266.62
6699.4,103.83,12.27,513.91,906.5,134.0,0.5651,193.92,263.94
6735.1,105.52,12.5,521.43,929.5,135.99,0.5746,195.81,260.48
6725.4,105.42,12.49,517.35,920.2,135.4,0.5709,194.98,262.4
6748.5,106.19,12.53,519.3,924.4,133.35,0.5778,196.44,262.01
6766.3,105.66,12.56,519.5,925.1,133.09,0.578,196.05,259.34
6754.0,105.06,12.54,515.26,926.1,133.55,0.5789,196.01,258.93
6768.3,104.66,12.61,518.78,933.1,133.56,0.5818,197.29,262.38
6776.6,105.98,12.74,524.65,946.5,135.11,0.5895,204.18,266.1
6877.0,107.07,12.87,530.59,954.6,137.41,0.5985,205.25,270.98
6845.7,105.77,12.81,526.52,947.1,135.4,0.5922,202.78,270.02
6857.7,107.11,15.9,529.0,949.0,136.84,0.5953,202.47,272.0
6866.8,106.57,15.47,531.66,950.0,135.76,0.5912,205.8,274.2
6822.4,105.29,15.32,524.82,943.0,135.0,0.5827,205.0,274.2
6831.0,106.74,15.59,529.61,945.5,135.0,0.5852,205.32,268.63
6841.9,106.93,16.18,530.59,947.3,135.13,0.59,205.74,265.45
6842.6,107.02,15.74,531.5,951.0,136.23,0.5922,205.79,265.45
6837.1,106.99,15.75,529.91,946.6,136.08,0.5898,205.07,273.48
6856.9,107.77,15.77,537.43,946.2,135.94,0.5924,208.91,274.9
6848.9,107.27,15.71,535.49,946.4,135.2,0.5901,211.94,274.14
6845.0,106.75,15.54,532.03,940.6,134.89,0.5878,210.11,273.97
6837.3,106.47,15.49,531.95,938.6,135.4,0.589,209.0,273.97
6725.3,104.51,14.83,521.99,915.5,131.75,0.5738,204.28,275.4
6740.7,104.8,14.99,522.73,926.6,131.56,0.573,202.75,273.92
6754.1,105.62,15.37,524.21,927.3,132.47,0.5766,204.77,276.0
6760.8,105.14,15.4,524.18,916.2,132.34,0.576,209.0,273.78
6737.0,104.24,15.09,519.1,901.0,129.86,0.5708,203.27,273.83
6728.7,104.67,15.21,515.85,899.2,127.81,0.5688,203.28,275.6
6684.7,102.24,14.86,506.98,894.6,126.0,0.5635,201.09,271.8
6494.9,99.83,14.63,490.1,867.2,120.38,0.5555,191.85,264.85
6525.5,98.78,14.52,490.93,864.0,124.29,0.549,192.65,260.55
6540.8,99.47,14.63,490.18,871.7,124.9,0.5555,192.92,260.04
6530.0,99.4,14.61,489.9,865.6,124.86,0.5561,192.1,258.9
6547.2,99.94,14.82,495.0,871.8,125.22,0.5585,192.36,257.23
6545.2,99.15,14.81,493.5,875.3,125.0,0.5558,193.25,260.0
6548.3,99.93,14.48,496.09,876.0,125.64,0.555,194.86,260.9
6561.4,99.91,14.61,499.88,875.4,125.36,0.5593,198.04,259.5
6552.4,99.5,14.51,497.41,864.3,124.78,0.554,193.94,259.7
6585.1,99.76,14.6,497.1,877.2,124.78,0.5594,194.93,257.32
6570.1,99.15,14.49,493.02,871.4,124.71,0.5551,196.96,257.5
6569.1,99.1,14.51,493.37,874.4,124.98,0.5564,196.04,257.66
6545.0,98.88,13.81,489.36,864.3,125.56,0.5528,195.73,257.45
6522.0,97.32,13.31,477.99,856.6,124.17,0.5464,192.55,255.85
6413.1,94.35,13.29,468.67,835.9,115.81,0.5242,189.55,250.2
6433.0,94.1,13.41,470.42,838.5,119.13,0.5288,187.81,248.89
6450.0,95.27,13.46,475.84,841.0,119.45,0.5353,186.83,251.1
6461.0,95.46,13.54,477.98,845.6,119.58,0.5374,187.8,252.7
6450.0,94.86,13.41,474.0,843.2,119.98,0.53,190.48,250.98
6429.7,92.27,13.36,469.26,838.3,119.78,0.5264,187.03,248.46
6374.2,91.74,13.15,463.0,829.3,119.0,0.5214,184.38,246.9
6285.4,91.48,13.44,469.7,830.0,117.7,0.52,178.94,241.79
6311.6,93.82,13.79,473.0,832.2,116.8,0.5225,182.6,244.2
6324.5,93.56,13.94,475.5,836.6,115.95,0.524,184.71,246.22
6277.9,91.89,13.77,467.69,823.9,113.78,0.5161,185.11,246.08
6254.0,91.92,13.69,470.26,822.7,113.16,0.5178,182.14,245.05
6275.0,91.95,13.81,468.52,824.4,114.46,0.5183,180.1,242.69
6313.5,93.4,14.02,474.52,845.0,119.03,0.53,181.14,245.0
6294.2,93.74,13.83,476.0,841.2,121.42,0.5282,183.53,244.72
6269.1,92.56,13.61,474.3,830.9,123.92,0.5224,183.95,245.2
6310.6,92.97,13.3,470.42,828.2,122.89,0.5227,183.61,247.6
6470.8,96.47,13.66,488.04,870.6,131.49,0.5448,190.76,253.42
6497.4,96.75,13.66,485.72,872.4,130.42,0.55,192.0,259.29
6477.5,95.8,13.58,486.63,867.6,128.56,0.5495,191.06,258.62
6479.0,96.04,13.62,486.54,865.5,126.56,0.5512,188.81,256.68
6478.1,96.15,13.79,485.24,864.7,126.57,0.5491,189.72,256.68
6475.9,96.29,13.75,482.13,863.0,126.41,0.5462,189.93,256.49
6489.3,96.31,13.86,485.72,868.7,127.5,0.5512,192.01,257.39
6494.0,96.43,13.8,488.19,872.6,130.5,0.5512,192.01,258.93
6484.9,96.69,13.67,485.49,867.5,128.23,0.549,192.97,258.84
6521.4,97.89,13.8,488.14,876.7,133.37,0.5536,194.14,265.0
6485.0,97.06,13.55,484.56,869.4,130.03,0.548,194.01,261.88
6371.0,94.1,13.14,471.09,839.4,127.05,0.529,188.95,255.58
6418.8,95.23,13.41,473.63,850.0,128.03,0.5376,192.84,255.58
6345.5,94.39,13.26,463.09,843.1,122.49,0.5278,189.41,251.33
6521.8,97.97,13.73,504.99,870.4,129.77,0.5484,198.5,264.2
6611.5,100.79,13.96,512.41,890.3,131.0,0.556,196.74,266.65
6650.0,101.58,13.99,519.25,888.2,132.25,0.56,198.98,270.4
6645.8,100.8,14.18,520.91,888.9,131.83,0.5593,198.67,268.41
6657.9,102.18,14.27,519.0,897.0,131.94,0.563,199.81,269.57
6655.0,101.66,14.19,516.37,895.0,130.48,0.5661,198.12,269.57
6625.8,100.42,14.02,517.0,894.0,129.82,0.5558,197.64,267.91
6640.7,100.89,14.06,519.47,895.9,132.5,0.5564,198.58,267.85
6628.0,99.66,13.92,516.8,893.7,132.57,0.557,197.08,266.9
6596.1,99.3,13.87,513.63,882.5,130.78,0.5484,193.71,266.94
6595.0,99.43,13.84,514.0,878.6,129.4,0.5473,191.92,265.11
6605.0,99.71,13.92,512.1,879.4,129.94,0.5498,192.69,265.0
6569.5,98.26,13.86,503.0,869.4,129.35,0.549,192.15,262.57
6583.5,99.06,13.83,505.55,871.1,128.83,0.549,191.68,262.9
6585.9,99.24,13.8,508.0,874.6,128.23,0.5499,192.35,264.42
6578.1,97.14,13.9,505.2,860.6,128.85,0.549,191.64,264.31
6590.3,97.92,13.91,502.1,868.2,129.04,0.5509,196.22,269.95
6595.6,97.73,13.87,497.84,865.7,128.25,0.5488,196.8,266.5
6590.4,98.04,13.89,500.13,866.5,126.93,0.5513,197.0,267.0
6530.4,97.93,13.83,495.82,860.0,123.82,0.5453,194.4,259.38
6508.2,96.73,13.65,488.95,850.6,123.57,0.5428,195.22,255.91
6510.0,97.16,13.77,491.79,859.9,124.32,0.5441,194.65,258.27
6548.4,98.43,13.83,499.62,873.6,124.89,0.5491,195.43,258.27
6550.8,98.6,13.91,504.46,872.3,125.89,0.55,196.18,258.5
6578.0,98.69,13.99,506.18,873.7,127.6,0.55,200.26,259.4
6541.7,97.62,13.98,502.52,871.5,126.66,0.5492,199.04,260.6
6554.7,97.73,13.93,500.8,869.9,126.61,0.5459,197.8,261.58
6542.3,97.99,13.88,495.99,869.0,126.02,0.5439,197.8,261.05
6493.8,97.51,13.9,493.93,858.5,128.77,0.542,196.79,258.0
6477.0,96.72,13.78,494.37,855.6,126.66,0.538,195.52,259.3
6401.4,95.37,13.7,487.98,842.9,124.06,0.53,195.0,255.55
6387.6,95.45,13.79,487.14,842.0,121.7,0.533,192.77,254.04
